Reference, Value, Footprint, Datasheet, Manufacturer, Manufacturer Part #, Digikey Part #, NOTE:
"C27","4.7 uF","Capacitors_SMD:C_0805","https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X5R1H475M125AB","TDK Corporation","C2012X5R1H475M125AB","445-5981-1-ND"," 50V max - low ESL"
"C13","2.2 uF","Ben_Custom:0508_Capacitor","http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=TWK212B7225MD-T&fileName=TWK212B7225MD-T_SS&mode=specSheetDownload","Taiyo Yuden","TWK212B7225MD-T","587-5165-1-ND","Lower GHz impedance than pair of 0402 caps in SPICE"
"C26","2.2 uF","Ben_Custom:0508_Capacitor","http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=TWK212B7225MD-T&fileName=TWK212B7225MD-T_SS&mode=specSheetDownload","Taiyo Yuden","TWK212B7225MD-T","587-5165-1-ND","Lower GHz impedance than pair of 0402 caps in SPICE"
"D3","D_TVS","Ben_Custom:DO-214AC","http://katalog.we-online.de/pbs/datasheet/824501241.pdf","Wurth Electronics Inc.","824501241","732-9956-1-ND","Standoff - 24V, Clamping - 38.9V - 10.3A max"
"D13","D_Schottky","Diodes_SMD:D_SOD-323","https://toshiba.semicon-storage.com/info/docget.jsp?did=14077&prodName=CUS10S30","Toshiba Semiconductor and Storage","CUS10S30,H3F","CUS10S30H3FCT-ND","230mV @ 100mA max"
"SW1","TS5A3357DCUR","Ben_Custom:8-VFSOP","http://www.ti.com/lit/ds/symlink/ts5a3357.pdf","Texas Instruments","TS5A3357DCUR","296-17404-1-ND","15 Ohm - 6.5ns switch time"
"J1","Conn_Coaxial","Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm","http://www.sullinscorp.com/drawings/78_P(N)PxCxxxLFBN-RC,_10492-H.pdf","Sullins Connector Solutions","PPPC021LFBN-RC","S7035-ND"," "
"RN1","4.7k","Ben_Custom:Resistor_Array_x4_1206","https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf","Panasonic Electronic Components","EXB-38V472JV","Y9472CT-ND","±5% ±200ppm/°C 62.5mW"
"TH1","10k","Ben_Custom:CC_silkscreen","http://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf","Cantherm","MF52A2103J3470","317-1258-ND","B25/50 3470K"
"J17","Conn_01x05_Female","Socket_Strips:Socket_Strip_Straight_1x05_Pitch2.54mm","http://www.sullinscorp.com/drawings/78_P(N)PxCxxxLFBN-RC,_10492-H.pdf","Sullins Connector Solutions","PPTC051LFBN-RC","S6103-ND"," "
"C25","2.2 uF","Ben_Custom:0508_Capacitor","http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=TWK212B7225MD-T&fileName=TWK212B7225MD-T_SS&mode=specSheetDownload","Taiyo Yuden","TWK212B7225MD-T","587-5165-1-ND","Lower GHz impedance than pair of 0402 caps in SPICE"
"TH2","10k","Ben_Custom:CC_Attribution","http://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf","Cantherm","MF52A2103J3470","317-1258-ND","B25/50 3470K"
"TH3","10k","Ben_Custom:CC_Share_alike","http://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf","Cantherm","MF52A2103J3470","317-1258-ND","B25/50 3470K"
"J16","Conn_Coaxial","Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm","http://www.sullinscorp.com/drawings/78_P(N)PxCxxxLFBN-RC,_10492-H.pdf","Sullins Connector Solutions","PPPC021LFBN-RC","S7035-ND"," "
"RV4","10k","Symbols:OSHW-Symbol_6.7x6mm_SilkScreen","http://www.ttelectronics.com/sites/default/files/download-files/Datasheet_RotaryPanelPot_P170series.pdf","TT Electronics/BI","P170S-FC20BR10K","987-1318-ND","Rotary, SPST"
"C3","1 uF","Capacitors_SMD:C_0805","http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=HMK212BC7105KG-TE&fileName=HMK212BC7105KG-TE_SS&mode=specSheetDownload","Taiyo Yuden","HMK212BC7105KG-TE","587-5018-1-ND","Low ESL (same as 0603) - 100V"
"C4","1 uF","Capacitors_SMD:C_0805","http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=HMK212BC7105KG-TE&fileName=HMK212BC7105KG-TE_SS&mode=specSheetDownload","Taiyo Yuden","HMK212BC7105KG-TE","587-5018-1-ND","Low ESL (same as 0603) - 100V"
